objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
almeida_a_homens,Almeida_A_Homens.pdf,,,Homens,,,,,,,,,,,application/pdf,,,
andrade_dt_travestis,Andrade_DT_Travestis.pdf,,,Travestis,,,,,,,,,,,application/pdf,,,
araujo_dt_fecundacoes,Araujo_DT_Fecundacoes.pdf,,,Fecundacoes,,,,,,,,,,,application/pdf,,,
bagagli_dt_discursos,Bagagli_DT_Discursos.pdf,,,Discursos,,,,,,,,,,,application/pdf,,,
camargo_dt_pessoas,Camargo_DT_Pessoas.pdf,,,Pessoas,,,,,,,,,,,application/pdf,,,
costa_a_saidas,Costa_A_Saidas.pdf,,,Saidas,,,,,,,,,,,application/pdf,,,
costa_dt_identidade,Costa_DT_Identidade.pdf,,,Identidade,,,,,,,,,,,application/pdf,,,
favero_a_etica,Favero_A_Etica.pdf,,,Etica,,,,,,,,,,,application/pdf,,,
grunvald_dt_existencias,Grunvald_DT_Existencias.pdf,,,Existencias,,,,,,,,,,,application/pdf,,,
jesus_a_feminismos,Jesus_A_Feminismos.pdf,,,Feminismos,,,,,,,,,,,application/pdf,,,
jesus_dt_protesto,Jesus_DT_Protesto.pdf,,,Protesto,,,,,,,,,,,application/pdf,,,
lima_dt_transitos,Lima_DT_Transitos.pdf,,,Transitos,,,,,,,,,,,application/pdf,,,
neves_dt_hospitalidade,Neves_DT_Hospitalidade.pdf,,,Hospitalidade,,,,,,,,,,,application/pdf,,,
oliveira_dt_somos,Oliveira_DT_Somos.pdf,,,Somos,,,,,,,,,,,application/pdf,,,
paiva_dt_travas,Paiva_DT_Travas.pdf,,,Travas,,,,,,,,,,,application/pdf,,,
pinheiro_dt_linnda,Pinheiro_DT_Linnda.pdf,,,Linnda,,,,,,,,,,,application/pdf,,,
rego_dt_combinamos,Rego_DT_Combinamos.pdf,,,Combinamos,,,,,,,,,,,application/pdf,,,
reidel_dt_pedagogia,Reidel_DT_Pedagogia.pdf,,,Pedagogia,,,,,,,,,,,application/pdf,,,
reis_dt_somos,Reis_DT_Somos.pdf,,,Somos,,,,,,,,,,,application/pdf,,,
rodovalho_a_cis,Rodovalho_A_Cis.pdf,,,Cis,,,,,,,,,,,application/pdf,,,
