objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
Almeida_A_Homens,Almeida_A_Homens,,,,,,,,,,,,,,,,,
Andrade_DT_Travestis,Andrade_DT_Travestis,,,,,,,,,,,,,,,,,
Araujo_DT_Fecundacoes,Araujo_DT_Fecundacoes,,,,,,,,,,,,,,,,,
Bagagli_DT_Discursos,Bagagli_DT_Discursos,,,,,,,,,,,,,,,,,
Camargo_DT_Pessoas,Camargo_DT_Pessoas,,,,,,,,,,,,,,,,,
Costa_A_Saidas,Costa_A_Saidas,,,,,,,,,,,,,,,,,
Costa_DT_Identidade,Costa_DT_Identidade,,,,,,,,,,,,,,,,,
Favero_A_Etica,Favero_A_Etica,,,,,,,,,,,,,,,,,
Grunvald_DT_Existencias,Grunvald_DT_Existencias,,,,,,,,,,,,,,,,,
Jesus_A_Feminismos,Jesus_A_Feminismos,,,,,,,,,,,,,,,,,
Jesus_DT_Protesto,Jesus_DT_Protesto,,,,,,,,,,,,,,,,,
Lima_DT_Transitos,Lima_DT_Transitos,,,,,,,,,,,,,,,,,
Neves_DT_Hospitalidade,Neves_DT_Hospitalidade,,,,,,,,,,,,,,,,,
Oliveira_DT_Somos,Oliveira_DT_Somos,,,,,,,,,,,,,,,,,
Paiva_DT_Travas,Paiva_DT_Travas,,,,,,,,,,,,,,,,,
Pinheiro_DT_Linnda,Pinheiro_DT_Linnda,,,,,,,,,,,,,,,,,
Rego_DT_Combinamos,Rego_DT_Combinamos,,,,,,,,,,,,,,,,,
Reidel_DT_Pedagogia,Reidel_DT_Pedagogia,,,,,,,,,,,,,,,,,
Reis_DT_Somos,Reis_DT_Somos,,,,,,,,,,,,,,,,,
Rodovalho_A_Cis,Rodovalho_A_Cis,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
